num_train,deg,trial,seed,h,solver,num_contexts,loss_Y,regret_Y,regret_Y_lowvar,regret_fstar,sum_Y_zmethod,sum_fstar_zmethod,sum_Y_zY,sum_fstar_zY,sum_fstar_zfstar
100,2,10,2153,0.01,lasso,1000,5.553185,0.150001,0.144448,0.147440,5553.185270,5552.877352,5544.867925,5544.884907,5544.702245
100,2,10,2153,0.01,spo,1000,5.578342,0.603695,0.596276,0.599281,5578.341989,5577.930616,5544.867925,5544.884907,5544.702245
100,2,11,2154,0.01,gbm,1000,5.794306,1.370789,1.367072,1.373224,5794.306314,5794.093895,5715.952681,5715.814296,5715.605807
100,2,11,2154,0.01,lasso,1000,5.723579,0.133419,0.127295,0.133372,5723.578848,5723.228810,5715.952681,5715.814296,5715.605807
100,2,11,2154,0.01,spo,1000,5.744284,0.495658,0.483149,0.489247,5744.284236,5743.569244,5715.952681,5715.814296,5715.605807
100,2,12,2155,0.01,gbm,1000,5.768737,1.630303,1.620626,1.622944,5768.736745,5768.187497,5676.197551,5676.354613,5676.068096
100,2,12,2155,0.01,lasso,1000,5.685297,0.160307,0.155482,0.157767,5685.296871,5685.023038,5676.197551,5676.354613,5676.068096
100,2,12,2155,0.01,spo,1000,5.710898,0.611327,0.603100,0.605394,5710.897654,5710.430683,5676.197551,5676.354613,5676.068096
100,2,13,2156,0.01,gbm,1000,5.726585,1.574429,1.572948,1.563453,5726.585221,5726.501732,5637.821744,5638.642636,5638.348785
100,2,13,2156,0.01,lasso,1000,5.647138,0.165249,0.164740,0.155377,5647.138188,5647.109475,5637.821744,5638.642636,5638.348785
